start,goal,stress_level,subject,trialID,timeInTrial,trialNumber,selected,blockedWall,isStressTrial,success,isBlockedTrial,isStressFirst,isFemale,speed,nodeDistance,trialType,nodePath,blockedNodePath,shortestPathLength,Efficiency,type
A1,D4,2,544,12,7.330322,22,D4,,True,1,False,False,True,0.9549375866435336,7.0,B,"['A1', 'A2', 'A3', 'A4', 'B4', 'C4', 'D4']",,7,0.0,stress non-blocked
F6,A6,2,544,13,7.852173,23,A6,,True,1,False,False,True,1.018826253573374,8.0,B,"['F6', 'E6', 'E7', 'D7', 'C7', 'B7', 'A7', 'A6']",,8,0.0,stress non-blocked
B2,C6,3,544,5,11.63928,24,C6,C3East,True,1,True,False,True,1.202823542349699,14.0,C,"['B2', 'C2', 'C3', 'C2', 'B2', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'B7', 'C7', 'C6']","['C3', 'C2', 'B2', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'B7', 'C7', 'C6']",10,0.2,stress blocked
G5,C7,4,544,7,12.23926,25,C7,F6North,True,1,True,False,True,1.225564290651559,15.0,C,"['G5', 'G6', 'F6', 'G6', 'G5', 'G4', 'G3', 'F3', 'E3', 'E4', 'D4', 'C4', 'C5', 'C6', 'C7']","['F6', 'G6', 'G5', 'G4', 'G3', 'F3', 'E3', 'E4', 'D4', 'C4', 'C5', 'C6', 'C7']",13,0.0,stress blocked
E6,D1,2,545,20,23.28687,2,D1,,False,1,False,False,False,0.8159104250592716,19.0,A,"['E6', 'E5', 'E4', 'D4', 'C4', 'C5', 'C6', 'C7', 'B7', 'A7', 'A6', 'A5', 'A4', 'A3', 'A2', 'B2', 'C2', 'C1', 'D1']",,7,1.7142857142857142,control
A6,E6,1,545,24,13.06055,3,E6,,False,1,False,False,False,0.5359651775767483,7.0,A,"['A6', 'A7', 'B7', 'C7', 'D7', 'E7', 'E6']",,7,0.0,control
B2,G5,1,545,15,12.17017,4,G5,,False,1,False,False,False,0.903849329960058,11.0,A,"['B2', 'C2', 'C1', 'D1', 'E1', 'F1', 'G1', 'G2', 'G3', 'G4', 'G5']",,11,0.0,control
C7,D1,2,545,21,15.28516,5,D1,,False,1,False,False,False,0.6542293309327478,10.0,A,"['C7', 'B7', 'C7', 'C6', 'C5', 'C4', 'C3', 'C2', 'C1', 'D1']",,8,0.25,control
D1,D4,3,545,22,19.64636,6,D4,,False,1,False,False,False,0.814400224774462,16.0,A,"['D1', 'C1', 'C2', 'C3', 'C4', 'B4', 'A4', 'A5', 'A6', 'A7', 'B7', 'C7', 'C6', 'C5', 'C4', 'D4']",,6,1.6666666666666667,control
C6,F1,1,545,17,9.806274,7,F1,,False,1,False,False,False,0.91777978057721,9.0,A,"['C6', 'C5', 'C4', 'C3', 'C2', 'C1', 'D1', 'E1', 'F1']",,9,0.0,control
G2,C6,2,545,19,12.74597,8,C6,,False,1,False,False,False,0.7061055376719073,9.0,A,"['G2', 'G3', 'F3', 'E3', 'E4', 'D4', 'C4', 'C5', 'C6']",,9,0.0,control
F1,C7,1,545,16,11.2782,9,C7,,False,1,False,False,False,0.8866663120001419,10.0,A,"['F1', 'E1', 'D1', 'C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7']",,10,0.0,control
D4,F1,1,545,23,4.867432,10,F1,,False,1,False,False,False,1.2326828602844375,6.0,A,"['D4', 'E4', 'E3', 'E2', 'E1', 'F1']",,6,0.0,control
F6,B2,2,545,14,12.84851,11,B2,,False,1,False,False,False,0.8561303995560575,11.0,A,"['F6', 'E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'D1', 'C1', 'C2', 'B2']",,9,0.2222222222222222,control
C6,A1,2,545,18,12.98547,12,A1,,False,1,False,False,False,0.616073195656376,8.0,A,"['C6', 'B6', 'A6', 'A5', 'A4', 'A3', 'A2', 'A1']",,8,0.0,control
G5,A6,1,545,25,14.94788,13,A6,,False,1,False,False,False,0.9365876632672996,14.0,A,"['G5', 'G4', 'G3', 'F3', 'E3', 'E4', 'D4', 'C4', 'B4', 'A4', 'A3', 'A4', 'A5', 'A6']",,10,0.4,control
E6,A1,3,545,3,10.51282,14,A1,,True,1,False,False,False,0.951219558596076,10.0,B,"['E6', 'E5', 'E4', 'D4', 'C4', 'B4', 'A4', 'A3', 'A2', 'A1']",,10,0.0,stress non-blocked
D1,F6,2,545,4,10.73596,15,F6,,True,1,False,False,False,1.1177388887439967,12.0,B,"['D1', 'C1', 'C2', 'C3', 'C4', 'C5', 'C6', 'C7', 'D7', 'E7', 'E6', 'F6']",,8,0.5,stress non-blocked
C7,B2,2,545,11,16.41528,17,B2,C6West,True,1,True,False,False,0.9137827682500697,15.0,C,"['C7', 'C6', 'C7', 'D7', 'E7', 'E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'D1', 'C1', 'C2', 'B2']","['C6', 'C7', 'D7', 'E7', 'E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'D1', 'C1', 'C2', 'B2']",10,0.4,stress blocked
B2,C6,1,545,5,9.030762,18,C6,,True,1,False,False,False,0.8858610159364183,8.0,B,"['B2', 'A2', 'A3', 'A4', 'B4', 'C4', 'C5', 'C6']",,6,0.3333333333333333,stress non-blocked
F6,A6,1,545,13,11.28552,19,A6,E5West,True,1,True,False,False,0.8860912035954037,10.0,C,"['F6', 'E6', 'E5', 'E6', 'E7', 'D7', 'C7', 'B7', 'A7', 'A6']","['E5', 'E6', 'E7', 'D7', 'C7', 'B7', 'A7', 'A6']",8,0.0,stress blocked
D4,G2,1,545,6,7.915039,20,G2,,True,1,False,False,False,0.7580505920438294,6.0,B,"['D4', 'E4', 'E3', 'F3', 'G3', 'G2']",,6,0.0,stress non-blocked
